Title,Price,MRP,Discount,Rating,Review,Stock
"REDMI 5A Earbuds, ANC ,upto 30 hrs of Battery life with Google Fast pair TWS Bluetooth  (Bass Black, True Wireless)","1,199","2,999",60%,4,,In stock
"boAt Rockerz 450 w/ 40mm Drivers, 15 HRS Playback, Soft Padded Earcups Bluetooth  (Luscious Black, On the Ear)","1,499","3,990",62%,4.3,"3,71,501",In stock
"OnePlus Bullets Wireless Z2 Bluetooth  (Magico Black, In the Ear)","1,399","2,299",39%,4.3,"10,95,901",In stock
"OnePlus Bullets Wireless Z2 Bluetooth  (Acoustic Red, In the Ear)","1,399","2,299",39%,4.3,"10,95,901",In stock
"Apple AirPods Pro (2nd generation) with MagSafe Case (USB-C) Bluetooth  (White, True Wireless)","17,999","24,900",27%,4.6,"18,491",In stock
"Aroma NB119 Care 48 Hours Playing Time Fast Charging Bluetooth Neckband Earphone Bluetooth Gaming  (Green, In the Ear)",300,"1,999",84%,3.9,"48,652",In stock
"boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playback Bluetooth  (Pebble Black, Active Black, True Wireless)",899,"2,490",63%,4,"11,85,643",In stock
"GUGGU GW-201 SH12 Headset Super Extra Bass Bluetooth Headset (Furious On the Ear) Bluetooth  (Multicolor, True Wireless)",579,"1,149",49%,3.5,25,In stock
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Latency Gaming, Made in India, 5.3v Bluetooth  (Ivory White, True Wireless)",899,"2,999",70%,4.1,"1,14,651",In stock
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Latency Gaming, Made in India, 5.3v Bluetooth  (Glacier Blue, True Wireless)",849,"2,499",66%,4.1,"1,39,120",In stock
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth  (Hazel Beige, On the Ear)","1,999","3,990",49%,4.2,"68,502",In stock
"ZEBRONICS Thunder Max (ZEB-WHP 7), 120H Playtime, 3 EQ Modes, ENC,BT v5.4, Metallic Finish Bluetooth  (Black, On the Ear)","1,299","2,499",48%,4.4,14,In stock
"Apple AirPods(2nd gen) with Charging Case Bluetooth Headset with Mic  (White, True Wireless)","7,499","12,900",41%,4.5,"1,51,195",In stock
"ROAR WU-1045 P47 Headset Super Extra Bass Bluetooth Headset (Furious On the Ear) Bluetooth  (Multicolor, True Wireless)",449,899,50%,3.5,4,In stock
"OnePlus Bullets Wireless Z2 ANC Earphones with 45dB Hybrid ANC Bluetooth  (Boomin Black, In the Ear)","1,899","2,499",24%,4.2,"85,930",In stock
"TECHNUV S460 ANC High Quality Pure Sound, IPX5 Touch, Mini Wireless 5.3 Cordless Headset Bluetooth  (Blue, In-Earphone Car Headphones With Mic Powerful Sound, In the Ear)",599,"2,499",76%,3.9,329,In stock
"boAt Rockerz 255 Pro+ with ASAP Charge and upto 60 Hours Playback Bluetooth  (Active Black, In the Ear)","1,099","3,990",72%,4.2,"4,48,932",In stock
"Aroma NB140 Superstar Upto 55 Hours* Playtime Deep Bass Fast Charging Earbuds Bluetooth  (Midnight Black, True Wireless)",480,"2,499",80%,3.8,"11,597",In stock
