Title,Price,Rating,Review,Stock,Brand,Link
"Boult Newly Launched Flex Over Ear Bluetooth Headphones with 80H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, AUX Option, 60ms Low Latency, IPX5 (Black)","1,899",4.4 out of 5 stars,69,In stock,Boult,https://amazon.in/sspa/click?ie=UTF8&spc=MTo4OTg1MzQyNDUzMzM3ODUxOjE3MzQ2MDk5NTU6c3BfYXRmOjMwMDQyMjAxMzc2MzQzMjo6MDo6&url=%2FBoult-Launched-Bluetooth-Headphones-Playtime%2Fdp%2FB0DJPM6PYQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1734609955%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Aqua Blue)","1,499",4.1 out of 5 stars,"114,359",In stock,‎boAt,https://amazon.in/sspa/click?ie=UTF8&spc=MTo4OTg1MzQyNDUzMzM3ODUxOjE3MzQ2MDk5NTU6c3BfYXRmOjMwMDM0NjI1NDYzMjYzMjo6MDo6&url=%2FBoat-Rockerz-450-Lightweight-Compatibility%2Fdp%2FB08667772G%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1734609955%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)","1,499",4.1 out of 5 stars,"114,367",In stock,boAt,https://amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=sr_1_3?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-3
"boAt Rockerz 430 w/ 40mm Drivers, Beast Mode w/ 40ms Latency, 40hrs Playback, ENx Tech, Voice Assistant, BTv5.4, Adaptive Fit & Easy Access Controls, Bluetooth Headphones(Black Sabre)","1,298",3.7 out of 5 stars,242,In stock,boAt,https://amazon.in/boAt-Rockerz-430-Assistant-Headphones/dp/B0DGTSTQWL/ref=sr_1_4?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-4
"boAt Rockerz 425 Bluetooth Wireless Over Ear Headphones with Mic Signature Sound, Beast Mode for Gaming, Enx Tech, ASAP Charge, 25H Playtime, Bluetooth V5.2 (Active Black)","1,099",3.8 out of 5 stars,"2,755",In stock,boAt,https://amazon.in/Rockerz-425-Bluetooth-Headphones-Signature/dp/B09QL3NQHX/ref=sr_1_5?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-5
"boAt Newly Launched Rockerz 480 w/RGB LEDs, 6 Light Modes, 40mm Drivers, Beast Mode, 60hrs Playback, ENx Tech, BT v5.3, Adaptive Fit & Easy Access Controls, Bluetooth Headphones(Black Sabre)","1,799",4.7 out of 5 stars,33,In stock,boAt,https://amazon.in/boAt-Rockerz-480-Bluetooth-Headphones/dp/B0DGTSRX3R/ref=sr_1_6?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-6
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)",799,3.7 out of 5 stars,"77,766",In stock,ZEBRONICS,https://amazon.in/ZEBRONICS-Bluetooth-Headphones-assistant-Comfortable/dp/B07L8KNP5F/ref=sr_1_7?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-7
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Aqua Blue)","1,499",4.1 out of 5 stars,"114,359",In stock,‎boAt,https://amazon.in/Boat-Rockerz-450-Lightweight-Compatibility/dp/B08667772G/ref=sr_1_8?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-8
"boAt Rockerz 550 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Black)","1,799",4.1 out of 5 stars,"49,803",In stock,boAt,https://amazon.in/Boat-Rockerz-550-Headphone-Aesthetics/dp/B0856HY85J/ref=sr_1_9?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-9
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Hazel Beige)","1,499",4.1 out of 5 stars,"114,367",In stock,boAt,https://amazon.in/Boat-Rockerz-450-Lightweight-Compatibility/dp/B086671ZSR/ref=sr_1_10?dib=eyJ2IjoiMSJ9.BV2adArxWZVlR4gpdt13RKfDfPSyphy8jiqFN9mD4zpkISTTCp9quUT1yDMoNLWlMu5Jgs4li7XBISYktZ2FscnTLHuDFbeJ733g-1aIy3HdiFqzPLeZeeQf8-7M5n6FTvTwPmYQrOIVfomfM44OSnrKFnj82xTKO7FfeReLM4S4cJeTe3-MQVRx7ZR7rVfL3KIVbT_E643gHErJ6l-000ea9ZyeC5S844qkfalh0sY.oa8qjaSzkZIvQQflS-jREWldeb40OMe1tBK_xjszqI0&dib_tag=se&keywords=headphones&qid=1734609955&sr=8-10
